id,alias,name,is_closed,review_count,categories,rating,transactions,price,address,city,country,state,display_address,phone
tEnhREqfSe8MBwqtdcjL9A,dishdash-grill-milpitas,Dishdash Grill,False,1243,Middle Eastern,4.5,['delivery'],$$,181 Ranch Dr,Milpitas,US,CA,"['181 Ranch Dr', 'Milpitas, CA 95035']",+14082626949
2_NepvKyJwu5BgYsSXCk_w,hironori-craft-ramen-santa-clara,HiroNori Craft Ramen,False,1196,Ramen,4.5,"['pickup', 'restaurant_reservation', 'delivery']",$$,4300 Great America Pkwy,Santa Clara,US,CA,"['4300 Great America Pkwy', 'Ste 180', 'Santa Clara, CA 95054']",+16693425146
I63u4dWV5EN2UXbKBTbBCw,hippies-brew-express-hayward-2,Hippies Brew Express,False,1517,Coffee & Tea,4.5,"['pickup', 'delivery']",$,888 C St,Hayward,US,CA,"['888 C St', 'Hayward, CA 94541']",+15104618629
p5OO-EvUSz-ZcaLGXwvj-w,frodo-joes-coffee-and-tea-san-lorenzo,Frodo Joe's Coffee & Tea,False,717,Coffee & Tea,4.5,['delivery'],$,17665 Hesperian Blvd,San Lorenzo,US,CA,"['17665 Hesperian Blvd', 'San Lorenzo, CA 94580']",+15104811844
vWiMtE4uj6uCZxjQHcOz-w,bombay-pizza-house-fremont,Bombay Pizza House,False,862,Pizza,4.5,"['pickup', 'delivery']",$$,4922 Paseo Padre Pkwy,Fremont,US,CA,"['4922 Paseo Padre Pkwy', 'Fremont, CA 94555']",+15107967700
VfpoAilO-8D7aywIKEdFXQ,the-press-pleasanton,The Press,False,1170,Cafes,4.5,['delivery'],$$,1987 Santa Rita Rd,Pleasanton,US,CA,"['1987 Santa Rita Rd', 'Ste H', 'Pleasanton, CA 94566']",+19258469900
vIC6NMct6v9a3k2XAgNUJA,dish-n-dash-fremont-2,Dish N Dash,False,702,Middle Eastern,4.5,['delivery'],$$,43514 Christy St,Fremont,US,CA,"['43514 Christy St', 'Fremont, CA 94538']",+15102499220
ud9ocsQHI7h3zNO7FdOFYQ,zareens-mountain-view-3,Zareen's,False,1756,Halal,4.5,"['pickup', 'delivery']",$$,1477 Plymouth St,Mountain View,US,CA,"['1477 Plymouth St', 'Ste C', 'Mountain View, CA 94043']",+16506410335
SwFKtoEOlWPlYfLVUyt7Dw,chicken-meets-rice-santa-clara,Chicken Meets Rice,False,746,Chicken Shop,4.5,"['pickup', 'delivery']",$$,2213 Tasman Dr,Santa Clara,US,CA,"['2213 Tasman Dr', 'Santa Clara, CA 95054']",+14082127928
vx62TkaXqgOTw0w0BZM9kw,ghazni-afghan-kabobs-hayward,Ghazni Afghan Kabobs,False,948,Afghan,4.5,"['pickup', 'delivery']",$$,1235 A St,Hayward,US,CA,"['1235 A St', 'Hayward, CA 94541']",+15103988940
_YDK0w05YAO99aQudHGpkA,philz-coffee-palo-alto-5,Philz Coffee,False,1150,Coffee & Tea,4.5,['delivery'],$,3191 Middlefield Rd,Palo Alto,US,CA,"['3191 Middlefield Rd', 'Palo Alto, CA 94303']",+16502519798
HYbKSGCg8hqLw6J_X7qbyQ,acqua-e-farina-hayward,Acqua e Farina,False,958,Italian,4.5,['delivery'],$$,22622 Main St,Hayward,US,CA,"['22622 Main St', 'Hayward, CA 94541']",+15108881568
OPuFiXxckMS6U5KZjQWYFw,dittmers-gourmet-meats-and-wurst-haus-los-altos-2,Dittmer's Gourmet Meats & Wurst-Haus,False,670,Meat Shops,4.5,"['pickup', 'delivery']",$$,4540 El Camino Real,Los Altos,US,CA,"['4540 El Camino Real', 'Los Altos, CA 94022']",+16509413800
-aiJmz-lKshxqmnHPzo8gw,gen-korean-bbq-house-milpitas-3,Gen Korean BBQ House,False,2751,Korean,4.5,[],$$,190 Barber Ct,Milpitas,US,CA,"['190 Barber Ct', 'Ste 500', 'Milpitas, CA 95035']",+14089550228
cFCc8E8vOCFLWG9BJ6TNSg,tayyibaat-meat-and-grill-milpitas-4,Tayyibaat Meat And Grill,False,1021,Halal,4.5,"['pickup', 'delivery']",$$,10 S Abbott Ave,Milpitas,US,CA,"['10 S Abbott Ave', 'Milpitas, CA 95035']",+14085869700
6yV_yKXWTEgmBbg27T9-Xg,bun-appétit-donuts-fremont-2,Bun Appétit Donuts,False,644,Donuts,4.5,['delivery'],$,37120 Fremont Blvd,Fremont,US,CA,"['37120 Fremont Blvd', 'Ste A', 'Fremont, CA 94536']",+15105651292
wRYzAXNCO_izJK5GTR715A,la-fiesta-restaurant-mountain-view-2,La Fiesta Restaurant,False,842,Mexican,4.0,['delivery'],$$,240 Villa St,Mountain View,US,CA,"['240 Villa St', 'Mountain View, CA 94041']",+16509681364
BRDTqJZxuF-V9EO6nkElAw,bajis-cafe-mountain-view,Bajis Cafe,False,812,Breakfast & Brunch,4.0,"['delivery', 'pickup']",$$,2423 Old Middlefield Way,Mountain View,US,CA,"['2423 Old Middlefield Way', 'Ste A', 'Mountain View, CA 94043']",+16509677477
aW0blLKFlnnWpgIFzveHZA,i-tea-milpitas,i-Tea,False,820,Ramen,4.0,['delivery'],$,760 E Calaveras Blvd,Milpitas,US,CA,"['760 E Calaveras Blvd', 'Milpitas, CA 95035']",+14082622988
7BlSd63UNfopUCwSAQfVBw,teo-chow-noodle-shack-fremont,Teo Chow Noodle Shack,False,831,Chinese,4.0,"['delivery', 'pickup']",$$,4165 Cushing Pkwy,Fremont,US,CA,"['4165 Cushing Pkwy', 'Fremont, CA 94538']",+15106572800
Hf3h4YNR8eL0Xdf5yygmIA,sia-fusion-eatery-newark,Sia Fusion Eatery,False,807,Asian Fusion,4.0,"['pickup', 'delivery']",$$,39263 Cedar Blvd,Newark,US,CA,"['39263 Cedar Blvd', 'Newark, CA 94560']",+15107948852
zj77OUnaa_aynsc6l-la4A,chef-teriyaki-hayward-3,Chef Teriyaki,False,797,Japanese,4.0,['pickup'],$,26960 Hesperian Blvd,Hayward,US,CA,"['26960 Hesperian Blvd', 'Hayward, CA 94545']",+15103988885
8Hw3jcryyNbLukYk7IqucA,la-milpa-milpitas,La Milpa,False,835,Mexican,4.0,['delivery'],$$,107 N Milpitas Blvd,Milpitas,US,CA,"['107 N Milpitas Blvd', 'Milpitas, CA 95035']",+14089456540
8GGNNPwqqCwJdsu93R2Hww,the-kebab-shop-fremont-2,The Kebab Shop,False,794,Mediterranean,4.0,['delivery'],$$,43834 Pacific Commons Blvd,Fremont,US,CA,"['43834 Pacific Commons Blvd', 'Fremont, CA 94538']",+15104902700
56c16Ps5rC3S3bO2ZnUA2Q,mil-s-diner-milpitas,Mil’s Diner,False,819,Diners,4.0,['delivery'],$$,36 S Abbott Ave,Milpitas,US,CA,"['36 S Abbott Ave', 'Milpitas, CA 95035']",+14089464773
avlVbL84dBfLwBIFNJ3BpA,sen-dai-sushi-milpitas,Sen Dai Sushi,False,3200,Japanese,4.0,['pickup'],$$,224 N Abel St,Milpitas,US,CA,"['224 N Abel St', 'Milpitas, CA 95035']",+14082631472
JPItDtK9nz1oMW2vt6XU3g,papillon-fremont,Papillon,False,844,French,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$$,37296 Mission Blvd,Fremont,US,CA,"['37296 Mission Blvd', 'Fremont, CA 94536']",+15107936331
SkC9q60OAEM_T8k6ECVVgQ,orens-hummus-mountain-view-3,Oren's Hummus,False,868,Mediterranean,4.0,"['delivery', 'pickup']",$$,126 Castro St,Mountain View,US,CA,"['126 Castro St', 'Mountain View, CA 94041']",+16509386736
phUdcIxWnhz_pa6rXYWBpw,lokanta-grill-and-bar-pleasanton-2,Lokanta Grill & Bar,False,791,Mediterranean,4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$,443 Main St,Pleasanton,US,CA,"['443 Main St', 'Pleasanton, CA 94566']",+19252238074
-O_S0NqL7NeDXo7tc0odiA,falafel-etc-fremont,"Falafel, Etc",False,899,Middle Eastern,4.0,['pickup'],$$,39200 Fremont Blvd,Fremont,US,CA,"['39200 Fremont Blvd', 'Fremont, CA 94538']",+15107957170
KMeJWd1zxNSHcUTeIaSejg,frodo-joes-petit-cafe-fremont,Frodo Joe's Petit Cafe,False,908,Creperies,4.0,['pickup'],$$,39286 Paseo Padre Pkwy,Fremont,US,CA,"['39286 Paseo Padre Pkwy', 'Fremont, CA 94538']",+15107900999
l8GVZvw9fFVGPupJg5DMKA,eureka-mountain-view-2,Eureka!,False,933,American (Traditional),4.0,"['pickup', 'delivery']",$$,191 Castro St,Mountain View,US,CA,"['191 Castro St', 'Mountain View, CA 94041']",+16504260582
5SFgMsPJc4VjfHpCyCnINg,doppio-zero-mountain-view,Doppio Zero,False,951,Pizza,4.0,"['pickup', 'delivery']",$$,160 Castro St,Mountain View,US,CA,"['160 Castro St', 'Mountain View, CA 94041']",+16509384147
DxFt5dsEWPZRoFD6EQ_HnA,loving-hut-milpitas-milpitas,Loving Hut - Milpitas,False,953,Vegetarian,4.0,['pickup'],$$,516 Barber Ln,Milpitas,US,CA,"['516 Barber Ln', 'Milpitas, CA 95035']",+14089430250
pirw30DvuMbst4GSCMxUyQ,green-champa-garden-fremont,Green Champa Garden,False,990,Thai,4.0,['delivery'],$$,42318 Fremont Blvd,Fremont,US,CA,"['42318 Fremont Blvd', 'Fremont, CA 94538']",+15104901500
i5RlRZwPavkbKXdB_0zOHA,house-of-dumplings-union-city-2,House of Dumplings,False,993,Chinese,4.0,"['pickup', 'delivery']",$,109 Appian Way,Union City,US,CA,"['109 Appian Way', 'Union City, CA 94587']",+15103248868
rhA4zoA5f45trMqMLY2NcQ,mikonos-grill-milpitas,Mikonos Grill,False,997,Greek,4.0,"['pickup', 'delivery']",$$,756 E Calaveras Blvd,Milpitas,US,CA,"['756 E Calaveras Blvd', 'Milpitas, CA 95035']",+14089426972
t7S4OwGaGe3t60kn7wLsrA,jang-su-jang-milpitas-3,Jang Su Jang,False,1000,Korean,4.0,['delivery'],$$,269 W Calaveras Blvd,Milpitas,US,CA,"['269 W Calaveras Blvd', 'Milpitas, CA 95035']",+14082623434
SyR3XRGBJUSe-R5qS0hbcg,jacks-restaurant-and-bar-newark-2,Jack's Restaurant & Bar,False,892,Breakfast & Brunch,4.0,"['pickup', 'delivery']",$$,1029 Newpark Mall Rd,Newark,US,CA,"['1029 Newpark Mall Rd', 'Newark, CA 94560']",+15107890027
_anR0d7K6-nwY1Ravk9VuA,o-sushi-newark,O' Sushi,False,769,Sushi Bars,4.0,['delivery'],$$,34940 Newark Blvd,Newark,US,CA,"['34940 Newark Blvd', 'Newark Market Place Shopping Center', 'Newark, CA 94560']",+15107922888
